Age_group,Area,FamilyStatus,Education,Income,Religion,Gender,Frequency-YouTube,Frequency-Facebook,Frequency-TikTok,Frequency-Twitter,Frequency-Instagram,Frequency-LinkedIn,Frequency-WhatsApp,ID,B-YouTube,B-Facebook,B-TikTok,B-Twitter,B-Instagram,B-LinkedIn,B-WhatsApp,Age_group-num,Income-num,Frequency-Instagram-num,Frequency-Facebook-num,Frequency-Twitter-num,Frequency-YouTube-num
65+,Jerusalem,Married,Secondary,Way below Average,Jewish - National Religious,Male,Daily,Several times a month,Several times a week,Several times a month,Several times a month,Not Using,Not Using,509,1,1,1,1,1,0,0,79,615,7,8,7,31
18-24,Center,Single,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Several times a week,Daily,Daily,Not Using,Several times a week,Not Using,Daily,510,1,1,1,0,1,0,1,19,6297,20,30,0,19
25-30,South,Married,Academic,below Average,Jewish - Orthodox,Female,Several times a month,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,511,1,0,0,0,0,0,1,26,4550,0,0,0,6
25-30,Center,Single,Secondary,Similar to Average,Jewish - Secular,Male,Several times a week,Several times a week,Several times a week,Not Using,Daily,Not Using,Daily,512,1,1,1,0,1,0,1,27,6183,29,25,0,28
25-30,Center,Married,Secondary,Way below Average,Jewish - Secular,Female,Daily,Several times a week,Less often,Not Using,Daily,Not Using,Daily,513,1,1,1,0,1,0,1,26,2668,30,16,0,29
25-30,Center,Single,Secondary,Above Average,Jewish - Secular,Male,Daily,Daily,Daily,Daily,Daily,Daily,Daily,514,1,1,1,1,1,1,1,25,10236,29,31,29,31
50-64,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Orthodox,Female,Several times a month,Daily,Not Using,Not Using,Several times a week,Not Using,Daily,515,1,1,0,0,1,0,1,57,1122,12,31,0,5
31-39,Jerusalem,Married,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,516,1,1,0,0,0,0,1,35,5131,0,13,0,29
65+,Jerusalem,Married,Secondary,Way below Average,Jewish - Secular,Female,Several times a month,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,517,1,1,0,0,0,0,1,77,2853,0,24,0,8
18-24,Center,Single,Secondary,Other Responses,Jewish - Secular,Female,Several times a week,Less often,Not Using,Not Using,Daily,Not Using,Daily,518,1,1,0,0,1,0,1,21,0,31,4,0,25
31-39,Center,Married,Secondary,Similar to Average,Jewish - Secular,Female,Several times a week,Daily,Daily,Not Using,Daily,Not Using,Daily,519,1,1,1,0,1,0,1,38,6195,31,30,0,11
40-49,Tel Aviv,Married,Secondary,Similar to Average,Jewish - Secular,Male,Daily,Daily,Several times a week,Several times a week,Daily,Not Using,Daily,520,1,1,1,1,1,0,1,46,7984,29,29,16,29
31-39,Center,Married,Academic,below Average,Jewish - Traditional,Male,Daily,Daily,Daily,Daily,Daily,Several times a month,Daily,521,1,1,1,1,1,1,1,32,3986,30,31,31,30
40-49,Jerusalem,Married,Secondary,Above Average,Jewish - Traditional,Male,Several times a week,Several times a month,Not Using,Not Using,Several times a month,Less often,Daily,522,1,1,0,0,1,1,1,40,8183,7,5,0,15
31-39,Center,Married,Secondary,Similar to Average,Jewish - Secular,Male,Several times a week,Several times a week,Less often,Less often,Less often,Not Using,Daily,523,1,1,1,1,1,0,1,34,5364,2,13,1,21
50-64,Center,Married,Secondary,Similar to Average,Jewish - Traditional,Female,Less often,Daily,Not Using,Not Using,Several times a month,Not Using,Daily,524,1,1,0,0,1,0,1,57,5039,10,29,0,4
25-30,Tel Aviv,Single,Academic,below Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Daily,Less often,Daily,525,1,1,0,0,1,1,1,28,4551,29,31,0,30
50-64,Center,Married,Secondary,Way below Average,Jewish - Traditional,Female,Daily,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,526,1,1,0,0,0,0,1,51,2545,0,28,0,31
40-49,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,527,1,1,0,0,0,0,1,42,6373,0,31,0,28
18-24,Tel Aviv,Single,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - National Religious,Male,Several times a week,Several times a month,Not Using,Daily,Not Using,Less often,Daily,528,1,1,0,1,0,1,1,21,921,0,5,29,13
31-39,North,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Orthodox,Female,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,529,0,0,0,0,0,0,0,31,2770,0,0,0,0
40-49,Center,Married,Secondary,Way Above Average,Jewish - Traditional,Male,Less often,Daily,Less often,Less often,Less often,Less often,Daily,530,1,1,1,1,1,1,1,40,19685,3,30,2,2
25-30,South,Married,Academic,Way below Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Less often,Not Using,Daily,531,1,1,0,0,1,0,1,29,1450,1,31,0,30
25-30,Haifa,Single,Secondary,Similar to Average,Jewish - Secular,Male,Several times a week,Several times a week,Not Using,Not Using,Several times a week,Not Using,Daily,532,1,1,0,0,1,0,1,27,6132,27,12,0,11
50-64,Center,Married,Academic,below Average,Jewish - Traditional,Female,Several times a month,Several times a month,Several times a week,Several times a week,Several times a week,Not Using,Daily,533,1,1,1,1,1,0,1,60,3894,21,10,11,7
40-49,Center,Single,Academic,Way below Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Not Using,Less often,Daily,534,1,1,0,0,0,1,1,44,311,0,30,0,30
65+,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Orthodox,Female,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,535,1,0,0,0,0,0,1,76,0,0,0,0,30
50-64,North,Divorced/Separated/Widowed/Single Parent,Academic,Way below Average,Jewish - Secular,Female,Daily,Daily,Several times a week,Not Using,Daily,Not Using,Daily,536,1,1,1,0,1,0,1,52,739,31,30,0,31
18-24,Center,Single,Elementary education,below Average,Jewish - Secular,Male,Several times a month,Daily,Daily,Not Using,Not Using,Not Using,Daily,537,1,1,1,0,0,0,1,18,4194,0,29,0,6
50-64,South,Divorced/Separated/Widowed/Single Parent,Academic,Above Average,Jewish - Traditional,Male,Several times a week,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,538,1,1,0,0,0,0,1,50,8546,0,18,0,28
25-30,Jerusalem,Married,Academic,Above Average,Jewish - Secular,Male,Several times a week,Daily,Several times a week,Daily,Not Using,Less often,Daily,539,1,1,1,1,0,1,1,26,10462,0,30,31,16
65+,Center,Married,Academic,Above Average,Jewish - Traditional,Male,Several times a month,Less often,Not Using,Not Using,Not Using,Not Using,Daily,540,1,1,0,0,0,0,1,75,8251,0,3,0,7
40-49,Haifa,Single,Academic,Similar to Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,541,1,1,0,0,1,0,1,41,5759,30,31,0,31
25-30,Center,Married,Academic,Similar to Average,Jewish - Secular,Male,Several times a month,Daily,Not Using,Less often,Several times a month,Daily,Daily,542,1,1,0,1,1,1,1,29,6805,7,30,1,9
31-39,South,Married,Academic,Similar to Average,Jewish - Traditional,Female,Daily,Several times a week,Several times a month,Several times a month,Several times a week,Not Using,Daily,543,1,1,1,1,1,0,1,33,6298,14,24,6,30
65+,Center,Divorced/Separated/Widowed/Single Parent,Academic,Way Above Average,Jewish - National Religious,Male,Several times a week,Not Using,Not Using,Several times a month,Not Using,Not Using,Daily,544,1,0,0,1,0,0,1,66,14811,0,0,9,13
40-49,Tel Aviv,Single,Other Responses,Way below Average,Jewish - Secular,Male,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Less often,545,1,0,0,0,0,0,1,42,1915,0,0,0,30
40-49,Center,Single,Secondary,Similar to Average,Jewish - Secular,Female,Daily,Daily,Daily,Not Using,Daily,Not Using,Not Using,546,1,1,1,0,1,0,0,46,5814,30,31,0,30
50-64,Tel Aviv,Single,Academic,Other Responses,Jewish - Traditional,Male,Not Using,Daily,Not Using,Not Using,Daily,Not Using,Daily,547,0,1,0,0,1,0,1,50,0,30,29,0,0
18-24,Center,Single,Secondary,Other Responses,Jewish - Secular,Male,Several times a week,Daily,Not Using,Not Using,Daily,Not Using,Daily,548,1,1,0,0,1,0,1,19,0,30,29,0,11
31-39,South,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Secular,Female,Daily,Several times a month,Several times a week,Not Using,Less often,Not Using,Daily,549,1,1,1,0,1,0,1,38,3029,4,10,0,31
50-64,Center,Married,Academic,Similar to Average,Jewish - Traditional,Male,Several times a month,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,550,1,1,0,0,0,0,1,62,5958,0,16,0,7
40-49,Haifa,Other,Academic,Way below Average,Jewish - Secular,Male,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,Several times a week,551,0,0,0,0,0,0,1,49,2033,0,0,0,0
40-49,Center,Married,Academic,below Average,Jewish - Traditional,Female,Daily,Daily,Daily,Several times a week,Several times a week,Several times a week,Daily,552,1,1,1,1,1,1,1,49,3477,17,31,21,30
50-64,Center,Married,Academic,Above Average,Jewish - National Religious,Male,Daily,Less often,Daily,Not Using,Not Using,Not Using,Daily,553,1,1,1,0,0,0,1,59,8318,0,2,0,31
50-64,North,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Several times a week,Daily,Daily,Not Using,Several times a week,Not Using,Daily,554,1,1,1,0,1,0,1,63,5245,23,29,0,24
40-49,North,Divorced/Separated/Widowed/Single Parent,Academic,below Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,555,1,1,0,0,0,0,1,41,3748,0,31,0,30
31-39,South,Married,Academic,Similar to Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Not Using,Several times a month,Daily,556,1,1,0,0,0,1,1,33,5697,0,30,0,29
18-24,North,Single,Secondary,Similar to Average,Jewish - Secular,Female,Daily,Daily,Daily,Not Using,Daily,Several times a week,Daily,557,1,1,1,0,1,1,1,18,5272,30,31,0,29
50-64,Center,Married,Academic,Similar to Average,Jewish - Orthodox,Male,Daily,Not Using,Less often,Not Using,Not Using,Not Using,Daily,558,1,0,1,0,0,0,1,56,6772,0,0,0,29
25-30,North,Married,Academic,Way below Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Several times a week,Not Using,Daily,559,1,1,0,0,1,0,1,28,1263,14,31,0,30
40-49,Tel Aviv,Married,Academic,Way Above Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Less often,Not Using,Daily,560,1,1,0,0,1,0,1,49,15362,4,30,0,31
18-24,Center,Single,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Orthodox,Male,Several times a week,Daily,Not Using,Less often,Not Using,Not Using,Daily,561,1,1,0,1,0,0,1,22,2974,0,31,1,17
31-39,Haifa,Married,Academic,below Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,562,1,1,0,0,0,0,1,32,3921,0,29,0,29
25-30,Center,Single,Other Responses,below Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,563,1,1,0,0,1,0,1,29,4383,29,29,0,29
65+,Center,Married,Secondary,Way below Average,Jewish - Traditional,Male,Daily,Daily,Daily,Not Using,Not Using,Not Using,Daily,564,1,1,1,0,0,0,1,75,340,0,31,0,30
25-30,Jerusalem,Single,Academic,Way below Average,Jewish - Secular,Female,Several times a month,Several times a week,Not Using,Not Using,Not Using,Not Using,Daily,565,1,1,0,0,0,0,1,29,389,0,24,0,9
40-49,South,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Secular,Female,Daily,Daily,Daily,Not Using,Not Using,Not Using,Daily,566,1,1,1,0,0,0,1,47,2625,0,31,0,29
65+,North,Divorced/Separated/Widowed/Single Parent,Secondary,Way below Average,Jewish - Traditional,Female,Less often,Not Using,Not Using,Not Using,Daily,Not Using,Daily,567,1,0,0,0,1,0,1,68,2051,29,0,0,2
65+,Center,Married,Academic,Similar to Average,Jewish - National Religious,Female,Several times a month,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,568,1,0,0,0,0,0,1,73,6166,0,0,0,7
25-30,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,569,1,1,0,0,0,0,1,29,5376,0,29,0,12
18-24,Center,Single,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Traditional,Male,Several times a week,Several times a month,Less often,Not Using,Less often,Not Using,Daily,570,1,1,1,0,1,0,1,22,2034,4,7,0,21
25-30,Center,Single,Secondary,Above Average,Jewish - Secular,Male,Daily,Daily,Not Using,Daily,Several times a week,Less often,Daily,571,1,1,0,1,1,1,1,25,10372,13,31,29,31
31-39,North,Married,Academic,Similar to Average,Jewish - National Religious,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,572,1,1,0,0,0,0,1,34,5146,0,29,0,16
18-24,Center,Other,Secondary,Way Above Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,573,1,1,0,0,1,0,1,19,15389,29,31,0,30
50-64,Center,Married,Academic,below Average,Jewish - Secular,Female,Daily,Daily,Daily,Daily,Daily,Several times a month,Daily,574,1,1,1,1,1,1,1,54,4689,29,31,29,30
65+,Haifa,Divorced/Separated/Widowed/Single Parent,Secondary,Similar to Average,Jewish - Traditional,Female,Several times a week,Daily,Not Using,Not Using,Daily,Not Using,Daily,575,1,1,0,0,1,0,1,73,5432,31,30,0,21
50-64,Center,Married,Secondary,Way below Average,Jewish - Traditional,Female,Several times a week,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,576,1,0,0,0,0,0,1,57,705,0,0,0,15
50-64,Center,Married,Secondary,Way below Average,Jewish - Secular,Female,Daily,Daily,Daily,Several times a week,Daily,Several times a week,Daily,577,1,1,1,1,1,1,1,52,2997,30,30,22,31
18-24,South,Single,Secondary,Way below Average,Jewish - Secular,Female,Several times a month,Daily,Not Using,Not Using,Daily,Several times a month,Daily,578,1,1,0,0,1,1,1,18,1999,29,29,0,8
31-39,North,Married,Secondary,Similar to Average,Jewish - Traditional,Female,Several times a week,Several times a week,Not Using,Not Using,Several times a week,Not Using,Daily,579,1,1,0,0,1,0,1,33,7633,17,14,0,28
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Secular,Male,Daily,Daily,Daily,Several times a week,Daily,Daily,Daily,580,1,1,1,1,1,1,1,53,0,29,29,21,30
50-64,Center,Married,Academic,Similar to Average,Jewish - Traditional,Male,Several times a month,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,581,1,0,0,0,0,0,1,51,5399,0,0,0,10
25-30,Haifa,Married,Academic,Above Average,Jewish - Secular,Female,Several times a week,Daily,Less often,Several times a month,Daily,Daily,Daily,582,1,1,1,1,1,1,1,25,10865,29,30,5,21
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Traditional,Male,Several times a month,Several times a month,Several times a week,Not Using,Several times a month,Not Using,Daily,583,1,1,1,0,1,0,1,56,4913,8,5,0,6
31-39,South,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Orthodox,Female,Daily,Several times a month,Not Using,Not Using,Not Using,Not Using,Daily,584,1,1,0,0,0,0,1,38,5964,0,5,0,29
50-64,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Orthodox,Male,Daily,Not Using,Not Using,Less often,Not Using,Not Using,Daily,585,1,0,0,1,0,0,1,56,4164,0,0,4,29
18-24,Haifa,Single,Secondary,Way Above Average,Jewish - Secular,Female,Several times a week,Several times a week,Daily,Not Using,Daily,Not Using,Daily,586,1,1,1,0,1,0,1,23,12829,30,24,0,14
25-30,North,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Orthodox,Male,Several times a week,Not Using,Not Using,Not Using,Not Using,Less often,Daily,587,1,0,0,0,0,1,1,29,3061,0,0,0,17
18-24,Center,Single,Secondary,Other Responses,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,588,1,1,0,0,1,0,1,21,0,29,31,0,29
40-49,North,Married,Secondary,below Average,Jewish - Secular,Female,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,589,1,1,1,1,1,0,1,40,3939,31,29,31,31
40-49,Center,Married,Academic,Above Average,Jewish - Traditional,Female,Several times a week,Daily,Several times a week,Several times a month,Daily,Not Using,Daily,590,1,1,1,1,1,0,1,46,8710,29,31,5,14
31-39,Tel Aviv,Married,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Several times a month,Less often,Daily,Daily,Daily,591,1,1,1,1,1,1,1,37,5807,30,29,2,31
31-39,Tel Aviv,Divorced/Separated/Widowed/Single Parent,Academic,Similar to Average,Jewish - Traditional,Female,Several times a month,Daily,Less often,Not Using,Less often,Not Using,Daily,592,1,1,1,0,1,0,1,39,6464,4,31,0,5
31-39,Jerusalem,Married,Academic,below Average,Jewish - Traditional,Female,Daily,Daily,Several times a week,Several times a week,Daily,Several times a week,Daily,593,1,1,1,1,1,1,1,33,4343,30,30,19,31
31-39,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Daily,Less often,Not Using,Not Using,Not Using,Not Using,Daily,594,1,1,0,0,0,0,1,39,6326,0,2,0,31
25-30,Center,Married,Secondary,Way Above Average,Jewish - Traditional,Male,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,595,1,1,0,0,1,0,1,30,19203,31,29,0,30
18-24,Center,Single,Secondary,below Average,Jewish - National Religious,Male,Several times a month,Daily,Daily,Daily,Daily,Not Using,Daily,596,1,1,1,1,1,0,1,18,4086,30,31,29,10
40-49,Center,Married,Academic,Above Average,Jewish - Secular,Male,Daily,Several times a month,Several times a week,Less often,Less often,Less often,Less often,597,1,1,1,1,1,1,1,40,9869,4,8,4,30
25-30,Haifa,Single,Secondary,Other Responses,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,598,1,1,0,0,1,0,1,30,0,29,30,0,29
31-39,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - National Religious,Male,Daily,Not Using,Not Using,Several times a week,Not Using,Less often,Daily,599,1,0,0,1,0,1,1,34,2274,0,0,22,29
25-30,South,Single,Secondary,below Average,Jewish - Traditional,Male,Several times a week,Daily,Not Using,Not Using,Daily,Not Using,Daily,600,1,1,0,0,1,0,1,25,4177,30,29,0,16
18-24,Jerusalem,Single,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - National Religious,Male,Several times a month,Less often,Less often,Less often,Less often,Less often,Less often,601,1,1,1,1,1,1,1,23,4735,3,1,1,10
50-64,Center,Divorced/Separated/Widowed/Single Parent,Academic,Similar to Average,Jewish - Traditional,Female,Several times a week,Several times a month,Less often,Daily,Not Using,Not Using,Not Using,602,1,1,1,1,0,0,0,62,7612,0,10,30,26
18-24,Haifa,Single,Secondary,Similar to Average,Jewish - Secular,Female,Daily,Daily,Daily,Not Using,Daily,Not Using,Daily,603,1,1,1,0,1,0,1,20,5772,30,30,0,29
25-30,Jerusalem,Single,Academic,Above Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,604,1,1,0,0,1,0,1,27,9595,30,29,0,29
31-39,North,Married,Academic,Above Average,Jewish - Secular,Female,Daily,Daily,Not Using,Several times a week,Several times a week,Several times a month,Daily,605,1,1,0,1,1,1,1,31,9608,12,31,27,29
31-39,Center,Married,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Several times a week,Daily,606,1,1,0,0,1,1,1,34,6334,31,31,0,30
40-49,Center,Single,Academic,below Average,Jewish - Traditional,Female,Daily,Daily,Not Using,Not Using,Not Using,Not Using,Daily,607,1,1,0,0,0,0,1,48,3885,0,31,0,29
50-64,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Secular,Male,Daily,Daily,Daily,Less often,Daily,Less often,Daily,608,1,1,1,1,1,1,1,52,0,30,29,1,30
18-24,Center,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Orthodox,Female,Daily,Not Using,Not Using,Not Using,Daily,Daily,Not Using,609,1,0,0,0,1,1,0,21,4267,30,0,0,31
18-24,Haifa,Single,Secondary,Other Responses,Jewish - National Religious,Female,Daily,Not Using,Not Using,Not Using,Daily,Several times a week,Daily,610,1,0,0,0,1,1,1,18,0,29,0,0,31
18-24,Center,Single,Academic,Other Responses,Jewish - Traditional,Female,Several times a week,Daily,Not Using,Not Using,Daily,Daily,Daily,611,1,1,0,0,1,1,1,24,0,31,30,0,23
31-39,Jerusalem,Married,Academic,Similar to Average,Jewish - Traditional,Male,Several times a week,Several times a week,Not Using,Not Using,Not Using,Several times a month,Daily,612,1,1,0,0,0,1,1,34,6390,0,27,0,25
31-39,Tel Aviv,Single,Other Responses,Way below Average,Jewish - Orthodox,Male,Daily,Several times a month,Several times a week,Several times a week,Not Using,Not Using,Daily,613,1,1,1,1,0,0,1,33,226,0,10,26,31
25-30,North,Married,Secondary,below Average,Jewish - National Religious,Female,Several times a month,Daily,Not Using,Not Using,Daily,Not Using,Daily,614,1,1,0,0,1,0,1,26,3825,30,31,0,7
50-64,Jerusalem,Married,Academic,below Average,Jewish - Secular,Male,Several times a week,Less often,Not Using,Not Using,Not Using,Not Using,Daily,615,1,1,0,0,0,0,1,64,3218,0,3,0,14
18-24,North,Single,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Orthodox,Male,Daily,Several times a month,Daily,Several times a month,Less often,Not Using,Daily,616,1,1,1,1,1,0,1,22,0,3,10,8,29
40-49,Jerusalem,Single,Secondary,below Average,Jewish - Traditional,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,617,1,1,0,0,0,0,1,44,3937,0,30,0,11
25-30,Haifa,Married,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Orthodox,Male,Daily,Not Using,Not Using,Not Using,Not Using,Not Using,Daily,618,1,0,0,0,0,0,1,27,2801,0,0,0,31
50-64,Haifa,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Female,Several times a month,Daily,Not Using,Not Using,Not Using,Not Using,Daily,619,1,1,0,0,0,0,1,61,7554,0,29,0,6
31-39,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Secular,Male,Daily,Daily,Not Using,Not Using,Several times a week,Less often,Daily,620,1,1,0,0,1,1,1,39,7307,18,31,0,31
50-64,North,Single,Secondary,Other Responses,otherwise or refuses to answer,Female,Not Using,Daily,Not Using,Not Using,Daily,Not Using,Daily,621,0,1,0,0,1,0,1,53,0,30,29,0,0
65+,Center,Married,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Daily,Several times a week,Several times a week,Not Using,Not Using,Daily,622,1,1,1,1,0,0,1,75,6912,0,29,19,29
50-64,Tel Aviv,Married,"Post-secondary (Technician, Engineer, etc.)",Similar to Average,Jewish - Traditional,Male,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,623,1,1,1,1,1,0,1,54,6797,30,29,31,29
25-30,Yehoda and Shomron,Single,Secondary,Way below Average,Jewish - Traditional,Female,Daily,Daily,Daily,Not Using,Daily,Not Using,Daily,624,1,1,1,0,1,0,1,28,54,29,31,0,29
31-39,Center,Married,"Post-secondary (Technician, Engineer, etc.)",Above Average,Jewish - Traditional,Male,Several times a week,Several times a week,Several times a week,Less often,Several times a month,Not Using,Daily,625,1,1,1,1,1,0,1,35,8727,9,22,3,23
25-30,Haifa,Married,Secondary,Other Responses,Jewish - Traditional,Female,Daily,Daily,Less often,Not Using,Daily,Not Using,Daily,626,1,1,1,0,1,0,1,25,0,29,29,0,31
18-24,Jerusalem,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Orthodox,Female,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,627,0,0,0,0,0,0,0,24,3689,0,0,0,0
18-24,North,Single,Secondary,Way Above Average,Jewish - National Religious,Male,Daily,Daily,Daily,Daily,Daily,Several times a week,Daily,628,1,1,1,1,1,1,1,22,12914,31,29,30,30
40-49,North,Divorced/Separated/Widowed/Single Parent,"Post-secondary (Technician, Engineer, etc.)",Way below Average,Jewish - Secular,Female,Daily,Daily,Less often,Not Using,Less often,Not Using,Daily,629,1,1,1,0,1,0,1,44,1777,3,29,0,31
31-39,Center,Married,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,630,1,1,0,0,1,0,1,37,6597,29,29,0,29
50-64,Center,Married,Academic,Above Average,Jewish - Secular,Male,Several times a month,Daily,Not Using,Not Using,Not Using,Not Using,Daily,631,1,1,0,0,0,0,1,63,9915,0,29,0,8
40-49,Center,Married,Academic,Similar to Average,Jewish - Traditional,Male,Daily,Daily,Daily,Daily,Daily,Not Using,Daily,632,1,1,1,1,1,0,1,49,7467,31,29,30,30
31-39,North,Married,"Post-secondary (Technician, Engineer, etc.)",below Average,Jewish - Traditional,Male,Several times a week,Daily,Not Using,Not Using,Daily,Several times a week,Daily,633,1,1,0,0,1,1,1,35,3690,30,31,0,20
25-30,South,Single,Secondary,Way below Average,Jewish - Secular,Female,Several times a month,Daily,Not Using,Not Using,Daily,Not Using,Daily,634,1,1,0,0,1,0,1,27,850,30,29,0,5
25-30,Tel Aviv,Single,Academic,Similar to Average,Jewish - Secular,Female,Daily,Daily,Not Using,Not Using,Daily,Not Using,Daily,635,1,1,0,0,1,0,1,29,7110,30,30,0,30
18-24,Jerusalem,Single,Other Responses,Way below Average,Jewish - Orthodox,Male,Several times a week,Less often,Not Using,Several times a month,Not Using,Not Using,Several times a month,636,1,1,0,1,0,0,1,20,2264,0,4,7,17
18-24,Jerusalem,Single,"Post-secondary (Technician, Engineer, etc.)",Other Responses,Jewish - Traditional,Female,Daily,Daily,Several times a week,Not Using,Daily,Not Using,Daily,637,1,1,1,0,1,0,1,20,0,29,29,0,29
25-30,North,Married,Academic,Way Above Average,Jewish - Traditional,Male,Several times a week,Daily,Less often,Not Using,Several times a week,Several times a month,Daily,638,1,1,1,0,1,1,1,26,19195,26,29,0,27
40-49,Jerusalem,Married,Academic,below Average,Jewish - Orthodox,Female,Several times a week,Not Using,Not Using,Not Using,Not Using,Not Using,Not Using,639,1,0,0,0,0,0,0,48,3160,0,0,0,19
18-24,Haifa,Single,Academic,Above Average,Jewish - National Religious,Female,Daily,Several times a week,Several times a month,Several times a month,Daily,Not Using,Daily,640,1,1,1,1,1,0,1,19,8781,29,25,8,30
25-30,South,Single,Academic,Above Average,Jewish - National Religious,Female,Daily,Daily,Less often,Not Using,Daily,Not Using,Daily,641,1,1,1,0,1,0,1,26,8893,31,30,0,31
50-64,South,Divorced/Separated/Widowed/Single Parent,Secondary,below Average,Jewish - Secular,Female,Several times a month,Daily,Daily,Less often,Daily,Not Using,Daily,642,1,1,1,1,1,0,1,61,4113,30,30,1,9
65+,Haifa,Divorced/Separated/Widowed/Single Parent,Secondary,Way below Average,Jewish - Traditional,Female,Several times a week,Daily,Not Using,Not Using,Not Using,Not Using,Daily,643,1,1,0,0,0,0,1,65,2377,0,31,0,13
